DATE,SOFR30DAYAVG
2019-06-13,2.40658
2019-06-14,2.40525
2019-06-17,2.39589
2019-06-18,2.39556
2019-06-19,2.39456
2019-06-20,2.39356
2019-06-21,2.39289
2019-06-24,2.39289
2019-06-25,2.39357
2019-06-26,2.39491
2019-06-27,2.39691
2019-06-28,2.39725
2019-07-01,2.40426
2019-07-02,2.40192
2019-07-03,2.40259
2019-07-04,.
2019-07-05,2.41361
2019-07-08,2.43297
2019-07-09,2.43598
2019-07-10,2.43798
2019-07-11,2.44032
2019-07-12,2.44132
2019-07-15,2.44165
2019-07-16,2.44533
2019-07-17,2.44934
2019-07-18,2.45134
2019-07-19,2.45368
2019-07-22,2.45835
2019-07-23,2.45936
2019-07-24,2.46036
2019-07-25,2.46103
2019-07-26,2.46136
2019-07-29,2.45735
2019-07-30,2.45402
2019-07-31,2.45034
2019-08-01,2.45468
2019-08-02,2.444
2019-08-05,2.40593
2019-08-06,2.39057
2019-08-07,2.37454
2019-08-08,2.36185
2019-08-09,2.34983
2019-08-12,2.31977
2019-08-13,2.31176
2019-08-14,2.30508
2019-08-15,2.29406
2019-08-16,2.28437
2019-08-19,2.25265
2019-08-20,2.24264
2019-08-21,2.23329
2019-08-22,2.22327
2019-08-23,2.21292
2019-08-26,2.18153
2019-08-27,2.17118
2019-08-28,2.1625
2019-08-29,2.15315
2019-08-30,2.14413
2019-09-02,.
2019-09-03,2.12809
2019-09-04,2.12742
2019-09-05,2.1301
2019-09-06,2.13343
2019-09-09,2.13844
2019-09-10,2.13878
2019-09-11,2.13978
2019-09-12,2.14078
2019-09-13,2.14212
2019-09-16,2.14745
2019-09-17,2.15747
2019-09-18,2.26166
2019-09-19,2.27635
2019-09-20,2.27034
2019-09-23,2.24663
2019-09-24,2.23828
2019-09-25,2.23361
2019-09-26,2.2306
2019-09-27,2.22058
2019-09-30,2.1892
2019-10-01,2.19555
2019-10-02,2.18621
2019-10-03,2.17585
2019-10-04,2.16484
2019-10-07,2.12777
2019-10-08,2.11709
2019-10-09,2.10707
2019-10-10,2.09806
2019-10-11,2.08837
2019-10-14,.
2019-10-15,2.04329
2019-10-16,2.03662
2019-10-17,2.02393
2019-10-18,1.91376
2019-10-21,1.88972
2019-10-22,1.88972
2019-10-23,1.89006
2019-10-24,1.89072
2019-10-25,1.88739
2019-10-28,1.88204
2019-10-29,1.88204
2019-10-30,1.88171
2019-10-31,1.86402
2019-11-01,1.86001
2019-11-04,1.83431
2019-11-05,1.82563
2019-11-06,1.81762
2019-11-07,1.80894
2019-11-08,1.79926
2019-11-11,.
2019-11-12,1.76054
2019-11-13,1.75119
2019-11-14,1.74185
2019-11-15,1.72783
2019-11-18,1.69078
2019-11-19,1.6801
2019-11-20,1.66975
2019-11-21,1.66007
2019-11-22,1.65039
2019-11-25,1.62269
2019-11-26,1.61335
2019-11-27,1.60333
2019-11-28,.
2019-11-29,1.58564
2019-12-02,1.57863
2019-12-03,1.5803
2019-12-04,1.5793
2019-12-05,1.57863
