,principal component 1
129,-1.2360328925674493
130,-1.2303990875815565
131,-1.183783794646302
132,-1.1618923513218773
133,-1.1262383770184257
134,-1.1044407338176156
135,-1.0879030811993262
136,-1.046883905105234
137,-1.0334805913932936
138,-1.0087925479979052
139,-0.9925310421611738
140,-0.8118696777748096
141,-0.7906565947409201
142,-0.8976079267283056
143,-0.7883075291311735
144,-0.7546346200874339
145,-0.7193513813383207
146,-0.6637052732341495
147,-0.5967759315497937
148,-0.5673576950908722
149,-0.5564670577185976
150,-0.5431829894001051
151,-0.5192760022766615
152,-0.4905241770898074
153,-0.463214682195163
154,-0.4138117108244213
155,-0.38935643401938946
156,-0.34875636645019825
157,-0.33465653474691737
158,-0.32921407650783335
159,-0.32422046522412
160,-0.29369378845399297
161,-0.26106948907419836
162,-0.2577338604288043
163,-0.21404956277230655
164,-0.20628184045155448
165,-0.20060018881616803
166,-0.19546703864325463
167,-0.17300875898154075
168,-0.0934874746753803
169,-0.07880387340802116
170,-0.06873575758718622
171,-0.052605880379029926
172,-0.03724843112736598
173,-0.01122865727076622
174,0.016126561232802598
175,0.04320632063638144
176,0.07835345233985794
177,0.14393968381657254
178,0.17861817800770097
179,0.18680290326375296
180,0.21892226346095645
181,0.3499337962662958
182,0.3554046975733257
183,0.4012976724578345
184,0.4270248515582504
185,0.4294879667125379
186,0.4428788060087927
187,0.46217108827822573
188,0.4700048978938286
189,0.47040552296424887
190,0.4920155757630143
191,0.5048482054820833
192,0.517195349753597
193,0.5361237764039036
194,0.5434664772728375
195,0.5586497296817405
196,0.5610295497844827
197,0.5743312697186888
198,0.5985904038959949
199,0.6408175855027998
200,0.673264180419712
201,0.7031377762759938
202,0.7308040587792521
203,0.7527788524604808
204,0.8023711614351564
205,0.871552147868718
206,0.9119159820483645
207,0.9127584684396818
208,0.9636598180868687
209,1.0242836190510771
210,1.0339558083338387
211,1.1156127172299404
212,1.1836322122715643
213,1.2046131697317815
214,1.2156131560384167
215,1.2427394822925482
216,1.2509042149779197
217,1.2786044714244704
218,1.322647285437754
219,1.3496455704796806
220,1.3788688511669056
221,1.4019040169498114
222,1.418400470064916
223,1.4534881749565889
224,1.4712366743435032
225,1.4951910134163566
226,1.509582621858951
227,1.5391245641821285
228,1.5492866248019221
229,1.5631184994973437
230,1.5665205781956877
231,1.591350890172777
232,1.6023752719352378
233,1.648906072369983
234,1.6540783159610637
235,1.702836382565956
236,1.7140325036204465
237,1.739248164205619
238,1.772325900780862
239,1.7930035530231734
240,1.8464210605939206
241,1.840834538505974
242,1.8643861498041283
243,1.9418571157173377
244,1.9710246569617524
245,1.9768129572908237
246,2.001854054370653
247,2.032574153477747
248,2.070920446695136
249,2.10630247247664
250,2.1282942431714615
251,2.161228337256153
252,2.164603250612485
253,2.240663177130812
